amplitude_fraction,case,sensor,panel,total_projected_green_strain_percent,movement_induced_green_strain_percent,active_contact_fraction,active_gap_95th_percentile_mm,active_gap_maximum_mm
0.0,garment_fit_torso_expand_060mm_manual,1,front,0.0495545979820973,0.0,1.0,0.004818248305584,0.0048197600886
0.0,garment_fit_torso_expand_060mm_manual,2,front,0.04955459798230445,0.0,1.0,0.004818248305584,0.0048197600886
0.0,garment_fit_torso_expand_060mm_manual,3,front,-0.016478975992945122,0.0,1.0,0.004818248305584,0.0048197600886
0.0,garment_fit_torso_expand_060mm_manual,4,front,0.054382432863298025,0.0,1.0,0.004818248305584,0.0048197600886
0.0,garment_fit_torso_expand_060mm_manual,5,front,0.006804038953324562,0.0,1.0,0.004818248305584,0.0048197600886
0.0,garment_fit_torso_expand_060mm_manual,6,front,-0.01174126677343299,0.0,1.0,0.004818248305584,0.0048197600886
0.0,garment_fit_torso_expand_060mm_manual,7,front,-0.01646249070890171,0.0,1.0,0.004818248305584,0.0048197600886
0.0,garment_fit_torso_expand_060mm_manual,8,back,-0.016478975992945122,0.0,1.0,0.004818248305584,0.0048197600886
0.0,garment_fit_torso_expand_060mm_manual,9,back,0.046039492565495846,0.0,1.0,0.004818248305584,0.0048197600886
0.0,garment_fit_torso_expand_060mm_manual,10,back,0.046039492565417416,0.0,1.0,0.004818248305584,0.0048197600886
0.25,garment_both_arms_raise_025_extended,1,front,-0.18844919901252052,-0.23800379699461782,0.7067307692307693,0.0094967343411425,0.0384892160127
0.25,garment_both_arms_raise_025_extended,2,front,-0.18844879173040302,-0.2380033897127075,0.7067307692307693,0.0094967343411425,0.0384892160127
0.25,garment_both_arms_raise_025_extended,3,front,-0.5943592710844825,-0.5778802950915374,0.7067307692307693,0.0094967343411425,0.0384892160127
0.25,garment_both_arms_raise_025_extended,4,front,0.20931208989344308,0.15492965703014505,0.7067307692307693,0.0094967343411425,0.0384892160127
0.25,garment_both_arms_raise_025_extended,5,front,-0.031772436410283426,-0.03857647536360799,0.7067307692307693,0.0094967343411425,0.0384892160127
0.25,garment_both_arms_raise_025_extended,6,front,-0.032700742850841985,-0.020959476077408994,0.7067307692307693,0.0094967343411425,0.0384892160127
0.25,garment_both_arms_raise_025_extended,7,front,-0.03178163090072905,-0.01531914019182734,0.7067307692307693,0.0094967343411425,0.0384892160127
0.25,garment_both_arms_raise_025_extended,8,back,-0.5943594519168927,-0.5778804759239475,0.7067307692307693,0.0094967343411425,0.0384892160127
0.25,garment_both_arms_raise_025_extended,9,back,0.17985051088191228,0.13381101831641645,0.7067307692307693,0.0094967343411425,0.0384892160127
0.25,garment_both_arms_raise_025_extended,10,back,0.17985190848632757,0.13381241592091014,0.7067307692307693,0.0094967343411425,0.0384892160127
0.5,garment_both_arms_raise_050,1,front,-0.3731002940048674,-0.42265489198696465,0.6418269230769231,0.020171813804275,0.089469580127
0.5,garment_both_arms_raise_050,2,front,-0.3731001500541408,-0.42265474803644526,0.6418269230769231,0.020171813804275,0.089469580127
0.5,garment_both_arms_raise_050,3,front,-1.1450811442516806,-1.1286021682587355,0.6418269230769231,0.020171813804275,0.089469580127
0.5,garment_both_arms_raise_050,4,front,0.3888139328659945,0.3344315000026965,0.6418269230769231,0.020171813804275,0.089469580127
0.5,garment_both_arms_raise_050,5,front,-0.07428708695410824,-0.08109112590743281,0.6418269230769231,0.020171813804275,0.089469580127
0.5,garment_both_arms_raise_050,6,front,-0.05636431707217212,-0.04462305029873913,0.6418269230769231,0.020171813804275,0.089469580127
0.5,garment_both_arms_raise_050,7,front,-0.047076319099387254,-0.030613828390485542,0.6418269230769231,0.020171813804275,0.089469580127
0.5,garment_both_arms_raise_050,8,back,-1.1450811184852638,-1.1286021424923187,0.6418269230769231,0.020171813804275,0.089469580127
0.5,garment_both_arms_raise_050,9,back,0.340360786481675,0.29432129391617917,0.6418269230769231,0.020171813804275,0.089469580127
0.5,garment_both_arms_raise_050,10,back,0.34036099385357516,0.2943215012881577,0.6418269230769231,0.020171813804275,0.089469580127
1.0,garment_both_arms_raise_100,1,front,-0.6408103105000394,-0.6903649084821367,0.5528846153846154,0.03026070913475,0.0412158306472
1.0,garment_both_arms_raise_100,2,front,-0.6407715690109841,-0.6903261669932886,0.5528846153846154,0.03026070913475,0.0412158306472
1.0,garment_both_arms_raise_100,3,front,-2.029678862106582,-2.013199886113637,0.5528846153846154,0.03026070913475,0.0412158306472
1.0,garment_both_arms_raise_100,4,front,0.6901801478460534,0.6357977149827554,0.5528846153846154,0.03026070913475,0.0412158306472
1.0,garment_both_arms_raise_100,5,front,-0.14979619712021067,-0.15660023607353524,0.5528846153846154,0.03026070913475,0.0412158306472
1.0,garment_both_arms_raise_100,6,front,-0.10648001771886048,-0.0947387509454275,0.5528846153846154,0.03026070913475,0.0412158306472
1.0,garment_both_arms_raise_100,7,front,-0.07938549725217126,-0.06292300654326954,0.5528846153846154,0.03026070913475,0.0412158306472
1.0,garment_both_arms_raise_100,8,back,-2.0296627031819336,-2.0131837271889887,0.5528846153846154,0.03026070913475,0.0412158306472
1.0,garment_both_arms_raise_100,9,back,0.6047021203134659,0.55866262774797,0.5528846153846154,0.03026070913475,0.0412158306472
1.0,garment_both_arms_raise_100,10,back,0.6046918620115201,0.5586523694461027,0.5528846153846154,0.03026070913475,0.0412158306472
