posture,sensor,panel,sensor_angle_deg,exx,eyy,gamma_xy_engineering,major_principal_strain,minor_principal_strain,major_principal_angle_deg,projected_sensor_axis_strain
standing_straight,1,front,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standing_straight,2,front,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standing_straight,3,front,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standing_straight,4,front,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standing_straight,5,front,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standing_straight,6,front,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standing_straight,7,front,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standing_straight,8,back,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standing_straight,9,back,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standing_straight,10,back,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_arm_raise,1,front,15.0,0.00411695337393912,0.0035999147720406316,0.015863675547887778,0.011794483638178239,-0.004077615492198489,-135.933379109893,0.008048237241952461
left_arm_raise,2,front,165.0,0.01073872263586753,0.09703073828165597,0.06564877123079599,0.10809744374708183,-0.00032798282955832567,71.36852268876615,0.00010699880455423277
left_arm_raise,3,front,90.0,0.02249864101688814,0.03634648878736088,0.09131027407138954,0.07559974822588966,-0.016754618421640652,49.31179817082971,0.03634648878736089
left_arm_raise,4,front,0.0,0.010941600175971409,0.02534689349659169,0.04653047370627898,0.04249890480443944,-0.006210411131876344,53.600958292665915,0.010941600175971409
left_arm_raise,5,front,55.0,0.0008855298397316345,0.002124479952213005,0.0037860641687040217,0.00349681809446522,-0.0004868083025205807,54.060072823254835,0.003495746124070987
left_arm_raise,6,front,105.0,0.0025705049762564727,0.035768100754580284,0.019187391597612347,0.03834113351471416,-2.527783877399402e-06,74.98657348618369,0.028747435610313024
left_arm_raise,7,front,90.0,0.0014061650635555087,0.00908662219694322,0.007594113662680323,0.010646856205332959,-0.00015406894483423073,67.66193789777252,0.00908662219694322
left_arm_raise,8,back,90.0,0.02249864101688814,0.03634648878736088,-0.09131027407138954,0.07559974822588966,-0.016754618421640652,130.6882018291703,0.036346488787360874
left_arm_raise,9,back,160.0,0.0077229393953721906,0.06199804130756908,-0.04505708062325052,0.07013061652741964,-0.0004096358244783812,109.84906973452478,0.028552986818329767
left_arm_raise,10,back,20.0,0.0026605252073723076,0.0036824319171431872,-0.010627202514783838,0.008509589806267717,-0.0021666326817522223,132.2536766214207,-0.0006354514670115835
right_arm_raise,1,front,15.0,0.01073872263586753,0.09703073828165597,-0.06564877123079599,0.10809744374708183,-0.00032798282955832567,108.63147731123387,0.00010699880455423624
right_arm_raise,2,front,165.0,0.00411695337393912,0.0035999147720406316,-0.015863675547887778,0.011794483638178239,-0.004077615492198489,135.933379109893,0.008048237241952465
right_arm_raise,3,front,90.0,0.02249864101688814,0.03634648878736088,-0.09131027407138954,0.07559974822588966,-0.016754618421640652,130.6882018291703,0.036346488787360874
right_arm_raise,4,front,0.0,0.010941600175971409,0.02534689349659169,-0.04653047370627898,0.04249890480443944,-0.006210411131876344,126.39904170733409,0.010941600175971409
right_arm_raise,5,front,55.0,0.0025705049762564727,0.035768100754580284,-0.019187391597612347,0.03834113351471416,-2.527783877399402e-06,105.01342651381631,0.01583130095030041
right_arm_raise,6,front,105.0,0.0008855298397316345,0.002124479952213005,-0.0037860641687040217,0.00349681809446522,-0.0004868083025205807,125.93992717674517,0.002988002073863553
right_arm_raise,7,front,90.0,0.0014061650635555087,0.00908662219694322,-0.007594113662680323,0.010646856205332959,-0.00015406894483423073,112.3380621022275,0.00908662219694322
right_arm_raise,8,back,90.0,0.02249864101688814,0.03634648878736088,0.09131027407138954,0.07559974822588966,-0.016754618421640652,49.31179817082971,0.03634648878736089
right_arm_raise,9,back,160.0,0.0026605252073723076,0.0036824319171431872,0.010627202514783838,0.008509589806267717,-0.0021666326817522223,47.74632337857929,-0.0006354514670115856
right_arm_raise,10,back,20.0,0.0077229393953721906,0.06199804130756908,0.04505708062325052,0.07013061652741964,-0.0004096358244783812,70.15093026547522,0.028552986818329754
left_shoulder_touch_twist,1,front,15.0,0.005658457422064166,-0.0023018090847433392,0.09669464246173098,0.05018919852601814,-0.046832550188697315,-137.35309576293832,0.029298881291988012
left_shoulder_touch_twist,2,front,165.0,0.004742225578890924,0.06121114852052772,0.11003817076398609,0.09481748726136707,-0.028864113161948434,58.58289785927991,-0.018984616537188897
left_shoulder_touch_twist,3,front,90.0,0.013874363912966257,0.027625233109396238,0.12773840324109553,0.08498799989136088,-0.043488402868998396,48.07207702406526,0.027625233109396245
left_shoulder_touch_twist,4,front,0.0,0.00674741832268344,0.0192649651947676,0.09718510103158204,0.06200015271876026,-0.03598776920130921,48.669675444750425,0.00674741832268344
left_shoulder_touch_twist,5,front,55.0,0.0010548016115066727,-0.004081060752411745,0.06814585529972116,0.03265642806771293,-0.035682687208618,-137.15499526412142,0.029626664919789446
left_shoulder_touch_twist,6,front,105.0,0.0011570051753478916,0.027042638765838522,0.07417778886166514,0.0533821665632563,-0.025182522622069888,54.618662318790264,0.006764182896387253
left_shoulder_touch_twist,7,front,90.0,0.0008671477445820751,0.006906308277430375,0.06559705804547784,0.03682396182079701,-0.02905050579878457,47.63003981940412,0.006906308277430379
left_shoulder_touch_twist,8,back,90.0,0.013874363912966257,0.027625233109396238,-0.12773840324109553,0.08498799989136088,-0.043488402868998396,131.92792297593473,0.02762523310939623
left_shoulder_touch_twist,9,back,160.0,0.0034761577710068488,0.04159390719375364,-0.09253099025061454,0.07257238597408341,-0.02750232100932292,123.80549778873753,0.03767397444019235
left_shoulder_touch_twist,10,back,20.0,0.003169092841794063,-0.0017938386375274116,-0.08169672849403507,0.0416112942627646,-0.04023604005849794,136.7381724818833,-0.023668282271154938
right_shoulder_touch_twist,1,front,15.0,0.004742225578890924,0.06121114852052772,-0.11003817076398609,0.09481748726136707,-0.028864113161948434,121.4171021407201,-0.018984616537188876
right_shoulder_touch_twist,2,front,165.0,0.005658457422064166,-0.0023018090847433392,-0.09669464246173098,0.05018919852601814,-0.046832550188697315,137.35309576293832,0.029298881291988037
right_shoulder_touch_twist,3,front,90.0,0.013874363912966257,0.027625233109396238,-0.12773840324109553,0.08498799989136088,-0.043488402868998396,131.92792297593473,0.02762523310939623
right_shoulder_touch_twist,4,front,0.0,0.00674741832268344,0.0192649651947676,-0.09718510103158204,0.06200015271876026,-0.03598776920130921,131.3303245552496,0.00674741832268344
right_shoulder_touch_twist,5,front,55.0,0.0011570051753478916,0.027042638765838522,-0.07417778886166514,0.0533821665632563,-0.025182522622069888,125.38133768120973,-0.01632563438382005
right_shoulder_touch_twist,6,front,105.0,0.0010548016115066727,-0.004081060752411745,-0.06814585529972116,0.03265642806771293,-0.035682687208618,137.15499526412142,0.013299440615730886
right_shoulder_touch_twist,7,front,90.0,0.0008671477445820751,0.006906308277430375,-0.06559705804547784,0.03682396182079701,-0.02905050579878457,132.36996018059588,0.00690630827743037
right_shoulder_touch_twist,8,back,90.0,0.013874363912966257,0.027625233109396238,0.12773840324109553,0.08498799989136088,-0.043488402868998396,48.07207702406526,0.027625233109396245
right_shoulder_touch_twist,9,back,160.0,0.003169092841794063,-0.0017938386375274116,0.08169672849403507,0.0416112942627646,-0.04023604005849794,-136.7381724818833,-0.023668282271154948
right_shoulder_touch_twist,10,back,20.0,0.0034761577710068488,0.04159390719375364,0.09253099025061454,0.07257238597408341,-0.02750232100932292,56.194502211262474,0.03767397444019233
both_arms_raise,1,front,15.0,0.019250000000015782,0.0638594879996679,-0.042858592000025175,0.07248557541372291,0.01062391258596077,111.9266162294234,0.01152362107107765
both_arms_raise,2,front,165.0,0.019250000000015782,0.0638594879996679,0.042858592000025175,0.07248557541372291,0.01062391258596077,68.07338377057658,0.011523621071077645
both_arms_raise,3,front,90.0,0.019000000000000003,0.05015999999958414,0.0,0.05015999999958414,0.019000000000000003,90.0,0.05015999999958414
both_arms_raise,4,front,0.0,0.013250000000000001,0.03497999999978532,0.0,0.03497999999978532,0.013250000000000001,90.0,0.013250000000000001
both_arms_raise,5,front,55.0,0.007499999999998826,0.023532480000038564,-0.010665599999991511,0.025144264697633117,0.005888215302404273,106.81690935292657,0.013246762745635344
both_arms_raise,6,front,105.0,0.007499999999998826,0.023532480000038564,0.010665599999991511,0.025144264697633117,0.005888215302404273,73.18309064707344,0.019792107482870993
both_arms_raise,7,front,90.0,0.004750000000000001,0.01254000000002614,0.0,0.01254000000002614,0.004750000000000001,90.0,0.01254000000002614
both_arms_raise,8,back,90.0,0.019000000000000003,0.05015999999958414,0.0,0.05015999999958414,0.019000000000000003,90.0,0.05015999999958414
both_arms_raise,9,back,160.0,0.013000000000031214,0.040789631999740145,-0.02001753599998549,0.04401910718368334,0.009770524816088016,107.88305369156498,0.022684281473658967
both_arms_raise,10,back,20.0,0.013000000000031214,0.040789631999740145,0.02001753599998549,0.04401910718368334,0.009770524816088016,72.11694630843503,0.02268428147365896
forward_bend,1,front,15.0,-0.007700000000001975,-0.029999999999821832,0.002800000000000718,-0.007612451334923067,-0.030087548664900737,-176.42168173344007,-0.008493816747793238
forward_bend,2,front,165.0,-0.007700000000001975,-0.029999999999821832,-0.002800000000000718,-0.007612451334923067,-0.030087548664900737,176.42168173344007,-0.00849381674779324
forward_bend,3,front,90.0,-0.0076,-0.029999999999995305,0.0,-0.0076,-0.029999999999995305,0.0,-0.029999999999995305
forward_bend,4,front,0.0,-0.0053,-0.029999999999821832,0.0,-0.0053,-0.029999999999821832,0.0,-0.0053
forward_bend,5,front,55.0,-0.002999999999998446,-0.029999999999995305,0.0023999999999998415,-0.0029467716023066264,-0.030053228397687124,-177.4601960699926,-0.019989640789949848
forward_bend,6,front,105.0,-0.002999999999998446,-0.029999999999995305,-0.0023999999999998415,-0.0029467716023066264,-0.030053228397687124,177.4601960699926,-0.027591342951085476
forward_bend,7,front,90.0,-0.0019,-0.030000000000038673,0.0,-0.0019,-0.030000000000038673,0.0,-0.030000000000038673
forward_bend,8,back,90.0,0.0228,0.0799999999995249,0.0,0.0799999999995249,0.0228,90.0,0.0799999999995249
forward_bend,9,back,160.0,0.0156000000000071,0.07999999999987184,-0.0071999999999615765,0.08020061727794062,0.015399382721938323,93.18962408379633,0.025447404326419384
forward_bend,10,back,20.0,0.0156000000000071,0.07999999999987184,0.0071999999999615765,0.08020061727794062,0.015399382721938323,86.81037591620367,0.025447404326419377
sitting,1,front,15.0,0.0008237133603515317,0.005346492968434559,0.0024597313116975716,0.005659293013114247,0.0005109133156718443,75.73013459418878,0.001741614974158374
sitting,2,front,165.0,0.0008237133603515317,0.005346492968434559,-0.0024597313116975716,0.005659293013114247,0.0005109133156718443,104.26986540581123,0.001741614974158375
sitting,3,front,90.0,0.000915781944436709,0.005769426253556626,0.0,0.005769426253556626,0.000915781944436709,90.0,0.005769426253556626
sitting,4,front,0.0,0.007147282015209992,0.018593822442500296,0.0,0.018593822442500296,0.007147282015209992,90.0,0.007147282015209992
sitting,5,front,55.0,0.026809446516474,0.005948578005827639,0.02673518211091137,0.03333443762828679,-0.0005764131059851538,-153.98206240452322,0.025373020314691637
sitting,6,front,105.0,0.026809446516474,0.005948578005827639,-0.02673518211091137,0.03333443762828679,-0.0005764131059851538,153.98206240452322,0.014029786751265368
sitting,7,front,90.0,0.03894003915357025,-0.017523017617048636,0.0,0.03894003915357025,-0.017523017617048636,0.0,-0.017523017617048636
sitting,8,back,90.0,0.0006868364583275318,0.004327069690168825,0.0,0.004327069690168825,0.0006868364583275318,90.0,0.004327069690168825
sitting,9,back,160.0,0.005764767110070026,0.014242647598567032,0.009964583593555319,0.01654525502612736,0.0034621596825096987,65.19558958826228,0.003553935300686995
sitting,10,back,20.0,0.005764767110070026,0.014242647598567032,-0.009964583593555319,0.01654525502612736,0.0034621596825096987,114.80441041173773,0.0035539353006869955
