state,sensor,det_F_fit,det_F_move,det_F_rel,principal_stretch_1,principal_stretch_2,principal_stretch_3,polar_rotation_deg,relative_axis_green_percent,mirror_pair_absolute_difference_percentage_points
"full garment, no contact",S3,1.000000002738958,0.9972270999653247,0.9972270972339615,1.000392391186167,1.0,0.9968359475940713,1.5504741315741069,-0.31528485956066055,0.0
"full garment, no contact",S9,1.0000000122745956,0.9997130038742075,0.9997129916031348,1.0010751062370409,1.0000000000000002,0.9986393482113185,4.928262479211505,0.07083718163367614,5.551115123125783e-14
"full garment, contact",S3,1.000378801900344,0.9980763487050657,0.9976984186481117,1.0035323563646354,0.9999999999999998,0.9941865972935269,0.023959706705931057,-0.577539369396346,0.0
"full garment, contact",S9,1.0003781465850954,1.0005335076142525,1.0001553023021221,1.001789824596026,1.0,0.9983683979875091,0.05345663081392887,0.13409468799653324,2.220446049250313e-14
