case_name,element_count,endpoint_difference_vs_fine_percent,endpoint_strain,endpoint_transfer_ratio,maximum_printed_edge_length_mm,maximum_printed_edge_length_ratio,maximum_taper_region_edge_length_ratio,mesh_level,minimum_printed_edge_length_mm,negative_jacobian_trial_messages,node_count,normal_termination,path_difference_vs_fine_percent,path_strain,printed_edge_length_ratio_95th_percentile,printed_element_count,return_code,taper_region_edge_length_ratio_95th_percentile,target_taper_in_plane_spacing_mm,wall_time_seconds
controlled10pct_mesh_taper10mm_tip50pct_audit_coarse,6560,19.81303469732167,0.002938090781956504,0.02938090781956504,5.0,12.500000000000004,5.000999900019996,audit_coarse,0.19999999999999996,0,8466,True,7.795116322108959,0.0033025880439909844,12.500000000000004,960,0,4.5690953632000655,1.0,0.0
controlled10pct_mesh_taper10mm_tip50pct_audit_medium,15020,9.137768415918627,0.002676308735157029,0.026763087351570288,3.75,9.375000000000002,3.750000000000001,audit_medium,0.19999999999999996,0,18480,True,3.417917578310292,0.0031684810015694636,9.375000000000002,1760,0,3.500000233333352,0.75,0.0
controlled10pct_mesh_taper10mm_tip50pct_audit_fine,37440,0.0,0.0024522296671467105,0.024522296671467103,2.5,6.250000000000002,2.500499950009998,audit_fine,0.19999999999999996,0,44371,True,0.0,0.0030637640708344577,6.250000000000002,3840,0,2.278594110290466,0.5,0.0
