case_name,garment_model,sensor,mesh,spatial_endpoint_percent,homogeneous_endpoint_percent,spatial_path_percent,homogeneous_path_percent,endpoint_sign_preserved_vs_homogeneous,path_sign_preserved_vs_homogeneous,endpoint_change_percent_of_homogeneous,path_change_percent_of_homogeneous,mapping_rms_residual_mm,mapping_maximum_residual_mm,normal_termination,negative_jacobian_messages
spatial_map1p0_full_garment_no_contact_s3_local_medium,full_garment_no_contact,3,local_medium,-0.0070396581205223185,-0.007143935593862949,-0.0037474718590017934,-0.0033975554844146096,True,True,1.459664242077025,-10.299062846576984,0.00889473289334541,0.03509710171443132,True,0
spatial_map1p0_full_garment_no_contact_s9_local_medium,full_garment_no_contact,9,local_medium,0.008924223484676475,0.0028051693018227297,0.005671193805108821,0.0015273824660315648,True,True,218.13493320626796,271.3014867745392,0.048751952511564924,0.19334852768419797,True,0
spatial_map1p0_full_garment_contact_s3_local_medium,full_garment_contact,3,local_medium,-0.01461537253090839,-0.01402127447294177,-0.007323079022537239,-0.007187195933933651,True,True,-4.237118809086221,-1.8906273023952076,0.0029013392148409044,0.009167604065786965,True,0
spatial_map1p0_full_garment_contact_s9_local_medium,full_garment_contact,9,local_medium,0.004907772667497312,0.005261917344938638,0.00261927846742023,0.0028251392182029908,True,True,-6.7303352414300575,-7.286747125817897,0.0033728826241477628,0.014448952091222305,True,0
