case_name,posture,sensor,panel,local_exx,local_eyy,local_gamma_xy_engineering,kinematic_projected_sensor_axis_strain,fullfield_mean_gauge_strain,fullfield_endpoint_gauge_strain,fullfield_path_gauge_strain,selection_rationale,effective_transfer_ratio,element_count
garment_submodel_left_arm_raise_s3_local_medium,left_arm_raise,3,front,0.03634648878736089,0.022498641016888133,-0.09131027407138954,0.03634648878736089,0.001271641279841873,0.001271641279841873,0.0009598993691953908,unilateral upper-front response with combined axial and shear loading,0.03498663343470121,7632
garment_submodel_left_shoulder_touch_twist_s9_local_medium,left_shoulder_touch_twist,9,back,0.03767397444019235,0.0073960905245681365,-0.09538446793585745,0.03767397444019235,0.001340511390577781,0.001340511390577781,0.0010229605577125006,negative-shear member of a mirrored back-sensor pair,0.035581894676545225,7632
garment_submodel_right_shoulder_touch_twist_s10_local_medium,right_shoulder_touch_twist,10,back,0.03767397444019233,0.007396090524568157,0.09538446793585748,0.03767397444019233,0.0013405191524915594,0.0013405191524915594,0.0010229572798593457,positive-shear symmetry partner used for verification,0.03558210070508069,7632
garment_submodel_both_arms_raise_s3_local_medium,both_arms_raise,3,front,0.05015999999958414,0.019000000000000003,3.815999426092224e-18,0.05015999999958414,0.0016700934020914104,0.0016700934020914104,0.0013237906004653869,bilateral upper-front axial-dominant loading and contact-free comparator,0.033295323008478005,7632
garment_submodel_forward_bend_s8_local_medium,forward_bend,8,back,0.0799999999995249,0.0228,7.004979691064677e-18,0.0799999999995249,0.002573389371225865,0.002573389371225865,0.0021858206847562987,largest selected axial strain and back-panel coverage,0.032167367140514345,7632
garment_submodel_sitting_s5_local_medium,sitting,5,front,0.025373020314691637,0.0073850042076099975,-0.02874677502005127,0.025373020314691637,0.0008877242830859444,0.0008877242830859444,0.0006185346300652872,lowest selected axial strain with mixed lower-front loading,0.03498693778177953,7632
