case_name,taper_length_mm,tip_thickness_fraction,mean_conductive_gauge_strain,strain_transfer_ratio,predicted_delta_R_over_R0,element_count
local_mesh_medium,0.0,1.0,0.007495858069303018,0.024986193564343395,0.04594338584081181,7632
taper_2p5mm_local_medium,2.5,0.25,0.009722426890961523,0.03240808963653841,0.059970040459152774,7632
taper_5mm_local_medium,5.0,0.25,0.009890072124134619,0.032966907080448735,0.061033315670559585,7632
taper_10mm_local_medium,10.0,0.25,0.010455551440168343,0.03485183813389448,0.0646272587861525,7632
