material_case,nylon_E_MPa,backing_E_MPa,conductive_E_MPa,mean_conductive_gauge_strain,strain_transfer_ratio,change_from_nominal_percent,wall_time_seconds
literature_nominal,0.24,48.4,45.0,0.00812823796815465,0.0270941265605155,0.0,20.1901
nylon_low,0.1,48.4,45.0,0.003021574461428855,0.010071914871429518,-62.826205713132666,5.8066
nylon_high,5.0,48.4,45.0,0.12686276496851184,0.42287588322837283,1460.7658814314148,8.5293
backing_low,0.24,31.4,45.0,0.009667695169642698,0.03222565056547566,18.93961775626446,8.9725
backing_high,0.24,67.0,45.0,0.0068910344741070165,0.022970114913690057,-15.22105404510586,6.307
conductive_low,0.24,48.4,12.0,0.014712240037261992,0.04904080012420664,81.00159093400787,9.7729
conductive_high,0.24,48.4,90.0,0.004900826769940636,0.016336089233135453,-39.70616031246353,7.6916
